recipient_name,recipient_role,sec_cik,sec_ticker,sec_title,fiscal_year,subaward_rows_primary_year,subaward_amount_primary_year_usd,prime_transaction_rows_primary_year,prime_transaction_amount_primary_year_usd,net_income_usd,operating_cash_flow_usd,capex_raw_usd,debt_proceeds_usd,debt_repayments_raw_usd,common_dividends_raw_usd,cash_balance_usd,capex_outflow_scale_usd,debt_repayment_scale_usd,debt_net_issuance_scale_usd
ILLINOIS TOOL WORKS INC,downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2017,0,0.0,0,0.0,,2299000000.0,284000000.0,,,742000000.0,3990000000.0,284000000.0,,
ILLINOIS TOOL WORKS INC,downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2018,0,0.0,0,0.0,,2302000000.0,273000000.0,,,821000000.0,3090000000.0,273000000.0,,
ILLINOIS TOOL WORKS INC,downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2019,0,0.0,0,0.0,,2402000000.0,297000000.0,,,941000000.0,1504000000.0,297000000.0,,
ILLINOIS TOOL WORKS INC,downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2020,0,0.0,0,0.0,,2811000000.0,364000000.0,,,1124000000.0,1981000000.0,364000000.0,,
ILLINOIS TOOL WORKS INC,downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2021,0,0.0,0,0.0,,2995000000.0,326000000.0,,,1321000000.0,2564000000.0,326000000.0,,
ILLINOIS TOOL WORKS INC,downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2022,0,0.0,0,0.0,,2807000000.0,236000000.0,,,1379000000.0,1527000000.0,236000000.0,,
ILLINOIS TOOL WORKS INC,downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2023,0,0.0,0,0.0,,2557000000.0,296000000.0,,,1463000000.0,708000000.0,296000000.0,,
ILLINOIS TOOL WORKS INC,downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2024,0,0.0,0,0.0,,2348000000.0,412000000.0,,,1542000000.0,1065000000.0,412000000.0,,
ILLINOIS TOOL WORKS INC.,downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2010,4,329391.47,0,0.0,,2222224000.0,362312000.0,,,598690000.0,827524000.0,362312000.0,,
ILLINOIS TOOL WORKS INC.,downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2011,4,329391.47,0,0.0,,2167552000.0,255739000.0,,,619681000.0,860987000.0,255739000.0,,
ILLINOIS TOOL WORKS INC.,downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2012,4,329391.47,0,0.0,,1488000000.0,288000000.0,,,636000000.0,1346000000.0,288000000.0,,
ILLINOIS TOOL WORKS INC.,downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2013,4,329391.47,0,0.0,,1956000000.0,353000000.0,,,680000000.0,1186000000.0,353000000.0,,
